Site,Code,Species,Season,Lake,System,System2,Strata,Zone,d13C,d15N,C,N,C.N,d34S,S,Biomass,Latitude,Longitude
54,5/11/22-ALG-SP-54,Microalgae,Dry,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-24.68,2.83,7.11,0.83,8.56626506,NA,NA,0.9866,-80.73802384,25.19591601
55,11/10/21-ALG-SP-55,Microalgae,Wet,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-25.05,2.95,8.38,0.93,9.010752688,NA,NA,0.5107,-80.72504,25.19203
55,5/11/22-ALG-SP-55,Microalgae,Dry,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-24.02,2.66,8.94,1.03,8.67961165,NA,NA,0.082,-80.72504,25.19203
56,12/1/21-ALG-SP-56#2,Microalgae,Wet,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-24.84,2.98,8.13,0.9,9.033333333,NA,NA,0.3397,-80.71842331,25.19179218
56,5/11/22-ALG-SP-56,Microalgae,Dry,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-23.67,2.13,8.79,1.05,8.371428571,NA,NA,0.9572,-80.71842331,25.19179218
57,11/10/21-ALG-SP-57,Microalgae,Wet,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-24.68,2.47,9.69,0.92,10.5326087,-7.4,1.99,2.1044,-80.71606,25.18531
57,5/11/22-ALG-SP-57,Microalgae,Dry,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-22.36,1.64,10.69,1.15,9.295652174,4.3,1.38,2.2562,-80.71606,25.18531
58,11/10/21-ALG-SP-58,Microalgae,Wet,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-24.68,2.64,8.89,0.93,9.559139785,NA,NA,1.0169,-80.72261906,25.18323729
58,5/11/22-ALG-SP-58,Microalgae,Dry,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-22.49,2.35,6.26,0.66,9.484848485,NA,NA,0.849,-80.72261906,25.18323729
59,11/10/21-ALG-SP-59,Microalgae,Wet,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-24.36,2.23,7.85,1.19,6.596638655,NA,NA,0.487,-80.72021055,25.17577527
59,5/11/22-ALG-SP-59,Microalgae,Dry,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-22.63,1.91,11.26,1.35,8.340740741,NA,NA,0.9593,-80.72021055,25.17577527
