Site,Code,Species,Season,Lake,System,System2,Strata,Zone,d13C,d15N,C,N,C.N,d34S,S,Biomass,Latitude,Longitude
67,5/11/22-ALG-TB-67,Microalgae,Dry,Terrapin Bay,McCormick Creek System,Terrapin Bay,,Bay,-19.16,5.37,5.88,0.67,8.776119403,NA,NA,2.9367,-80.73264462,25.15789269
68,5/11/22-ALG-TB-68,Microalgae,Dry,Terrapin Bay,McCormick Creek System,Terrapin Bay,,Bay,-19.87,3.49,5.09,0.58,8.775862069,0.4,0.85,4.507,-80.7422088,25.1540952
69,5/11/22-ALG-TB-69,Microalgae,Dry,Terrapin Bay,McCormick Creek System,Terrapin Bay,,Bay,-18.53,4.14,6.64,0.93,7.139784946,NA,NA,0.6141,-80.72987078,25.15371066
70,5/11/22-ALG-TB-70,Microalgae,Dry,Terrapin Bay,McCormick Creek System,Terrapin Bay,,Bay,-17.77,6.41,5.33,0.68,7.838235294,NA,NA,2.5002,-80.71582029,25.15377866
71,5/11/22-ALG-TB-71,Microalgae,Dry,Terrapin Bay,McCormick Creek System,Terrapin Bay,,Bay,-18.58,3.52,5,0.62,8.064516129,NA,NA,4.0796,-80.72585,25.1519
72,5/11/22-ALG-TB-72,Microalgae,Dry,Terrapin Bay,McCormick Creek System,Terrapin Bay,,Bay,-16.62,3.96,5.59,0.82,6.817073171,-2.4,0.88,6.3078,-80.71649573,25.14546266
73,5/11/22-ALG-SC-73,Microalgae,Dry,Shark Chickee,Alligator Creek System,Alligator Creek System,,Shark Chickee,-16.26,2.97,5.32,0.68,7.823529412,NA,NA,6.4627,-80.80269361,25.14138568
75,5/11/22-ALG-SC-75,Microalgae,Dry,Shark Chickee,Alligator Creek System,Alligator Creek System,,Shark Chickee,-16.15,3.2,5.59,0.69,8.101449275,NA,NA,1.4453,-80.80241819,25.14141445
76,5/11/22-ALG-SC-76,Microalgae,Dry,Shark Chickee,Alligator Creek System,Alligator Creek System,,Shark Chickee,-16.07,2.98,5.03,0.68,7.397058824,NA,NA,5.7836,-80.80284026,25.14107559
77,5/9/22-ALG-CU-77,Microalgae,Dry,Cuthbert Groundwater,Alligator Creek System,Alligator Creek System,,Upstream,-24.48,3.02,14.38,1.75,8.217142857,NA,NA,0.4559,-80.76728,25.20412
78,5/9/22-ALG-CU-78,Microalgae,Dry,Cuthbert Groundwater,Alligator Creek System,Alligator Creek System,,Upstream,-24.4,2.91,16.48,2,8.24,NA,NA,0.3986,-80.76735,25.20445
79,5/4/22-ALG-WL-79,Microalgae,Dry,West Lake Bathroom,Alligator Creek System,Alligator Creek System,,Upstream,-23.39,3.12,8.96,1.12,8,NA,NA,5.9094,-80.85022,25.21468
80,5/9/22-ALG-WL-80,Microalgae,Dry,West Lake Bathroom,Alligator Creek System,Alligator Creek System,,Upstream,-23.86,3.02,8.53,0.97,8.793814433,NA,NA,32.3499,-80.85023,25.21461
